HospitalName,AvgOutOfPocketCost,Latitude,Longitude
MEDICAL CENTER ENTERPRISE,1159.962514,31.318647,-85.855114
LAKE MARTIN COMMUNITY HOSPITAL,916.1140646,32.8186652,-85.7410034
FLOWERS HOSPITAL,1376.273624,31.2379068,-85.456757
ST VINCENT'S BIRMINGHAM,2042.204291,33.5083434,-86.7886005
BIBB MEDICAL CENTER,772.777174,32.9512234,-87.1481336
LAWRENCE MEDICAL CENTER,1022.982315,34.4834287,-87.2853788
HIGHLANDS MEDICAL CENTER,1028.424022,34.6626019,-86.0484991
WIREGRASS MEDICAL CENTER,924.5141761,31.048774,-85.890977
RUSSELL MEDICAL CENTER,1034.377085,32.9307582,-85.9695088
MEDICAL CENTER BARBOUR,987.9766544,31.8887641,-85.1563565
CLAY COUNTY HOSPITAL,1110.867107,33.2771472,-85.823822
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,1460.607743,33.6563834,-85.8230981
ATHENS LIMESTONE HOSPITAL,1294.1998,34.8042607,-86.979177
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1173.952728,30.4260938,-87.6843079
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1234.632139,34.5903214,-86.9719505
NORTHWEST MEDICAL CENTER,1072.699975,33.9302561,-87.8244258
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2777.392021,30.7072875,-88.0985628
WALKER BAPTIST MEDICAL CENTER,1103.260372,33.841043,-87.2365408
PROVIDENCE HOSPITAL,1730.8172,30.6789138,-88.1987853
GROVE HILL MEMORIAL HOSPITAL,1023.395648,31.6946282,-87.7763156
D C H REGIONAL MEDICAL CENTER,1613.120619,33.2041583,-87.5274955
HALE COUNTY HOSPITAL,1019.949496,32.6955444,-87.5869077
ELMORE COMMUNITY HOSPITAL,1083.981538,32.5523787,-86.1866697
D W MCMILLAN MEMORIAL HOSPITAL,983.8027659,31.1268079,-87.0734952
THOMAS HOSPITAL,1493.640985,30.5190265,-87.8883067
CITIZENS BAPTIST MEDICAL CENTER,903.4709975,33.4403319,-86.0902287
J PAUL JONES HOSPITAL,1152.397436,31.9974963,-87.3001801
PRINCETON BAPTIST MEDICAL CENTER,2201.98458,33.4979448,-86.8473661
GRANDVIEW MEDICAL CENTER,2112.834159,33.4331483,-86.7169497
PRATTVILLE BAPTIST HOSPITAL,1201.29035,32.463778,-86.451938
PICKENS COUNTY MEDICAL CENTER,1014.021056,33.274677,-88.089069
BULLOCK COUNTY HOSPITAL,1154.864394,32.1466768,-85.7167428
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,916.2131759,32.5038111,-87.837458
MOBILE INFIRMARY MEDICAL CENTER,1720.999364,30.6967327,-88.0804373
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",1431.149285,33.3723203,-86.9911534
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1178.035034,32.4292722,-87.056025
MONROE COUNTY HOSPITAL,1001.981578,31.498023,-87.3208916
LAKELAND COMMUNITY HOSPITAL,1118.87609,34.2479711,-87.5784146
TROY REGIONAL MEDICAL CENTER,1136.086064,31.7850747,-85.9604299
JACKSON MEDICAL CENTER,957.017461,31.5311947,-87.895053
NORTH BALDWIN INFIRMARY,1509.584685,30.903945,-87.785172
ST VINCENT'S ST CLAIR,1043.964895,33.6043705,-86.3017253
CRESTWOOD MEDICAL CENTER,1638.129701,34.6938402,-86.5721534
HILL HOSPITAL OF SUMTER COUNTY,964.013513,32.4917057,-88.2960195
BROOKWOOD BAPTIST MEDICAL CENTER,1574.327529,33.4642365,-86.7764088
SPRINGHILL MEMORIAL HOSPITAL,1461.03361,30.6852336,-88.1317111
RMC JACKSONVILLE,952.1363152,33.784545,-85.7629725
EVERGREEN MEDICAL CENTER,894.9861446,31.4308562,-86.9404773
BAPTIST MEDICAL CENTER EAST,1634.753793,32.3760239,-86.1748584
L V STABLER MEMORIAL HOSPITAL,1083.898539,31.8290939,-86.64627
SHOALS HOSPITAL,1115.401697,34.744969,-87.675383
RUSSELLVILLE HOSPITAL,1084.67099,34.5097841,-87.7174641
COOSA VALLEY MEDICAL CENTER,1360.308479,33.1644466,-86.2552042
JACK HUGHSTON MEMORIAL HOSPITAL,3008.667935,32.5080845,-85.0086714
ATMORE COMMUNITY HOSPITAL,918.458739,31.0165441,-87.47634
ST VINCENT'S CHILTON,987.125541,32.8802913,-86.622606
PROVIDENCE ALASKA MEDICAL CENTER,3847.851506,61.1879049,-149.8169137
MAT-SU REGIONAL MEDICAL CENTER,1946.522616,61.5631603,-149.2576383
BARTLETT REGIONAL HOSPITAL,1282.053116,58.3290164,-134.4649167
FAIRBANKS MEMORIAL HOSPITAL,1697.771065,64.8311569,-147.7399471
ALASKA REGIONAL HOSPITAL,3081.914841,61.2106958,-149.8285067
YUKON KUSKOKWIM DELTA REG HOSPITAL,1074.570163,60.7922222,-161.7558334
CENTRAL PENINSULA GENERAL HOSPITAL,1209.581137,60.4937695,-151.078629
ALASKA NATIVE MEDICAL CENTER,1227.94396,61.1829647,-149.7999673
ABRAZO MARYVALE CAMPUS,1147,33.5027819,-112.1707791
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,2171.99629,33.4646895,-112.0575015
TUCSON MEDICAL CENTER,1376.977195,32.2524018,-110.8782029
VERDE VALLEY MEDICAL CENTER,1839.546724,34.7357288,-112.029221
ST. MARY'S HOSPITAL,1346.105302,32.2280654,-111.0003538
ST JOSEPH'S HOSPITAL,1413.839596,32.2269701,-110.8556645
YAVAPAI REGIONAL MEDICAL CENTER,1296.97336,34.5593433,-112.4811126
YUMA REGIONAL MEDICAL CENTER,1324.835006,32.6819471,-114.6353801
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,1642.51413,33.5689294,-112.0710274
MARICOPA MEDICAL CENTER,1521.225886,33.4573098,-112.0261191
FLAGSTAFF MEDICAL CENTER,1885.075093,35.2088814,-111.6441794
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,3577.143891,33.4811303,-112.0794341
ABRAZO CENTRAL CAMPUS,1349.190689,33.525601,-112.1020655
BANNER PAYSON MEDICAL CENTER,1113.857929,34.2301338,-111.3206462
CHANDLER REGIONAL MEDICAL CENTER,1646.089697,33.2971574,-111.8746332
ST LUKE'S MEDICAL CENTER,1518.29133,33.4544851,-112.0423562
SCOTTSDALE OSBORN MEDICAL CENTER,1549.152408,33.4886967,-111.9229987
CANYON VISTA MEDICAL CENTER,1401.10009,31.552791,-110.2300732
KINGMAN REGIONAL MEDICAL CENTER,1346.997018,35.2201547,-114.0370933
BANNER BOSWELL MEDICAL CENTER,1374.471293,33.6036764,-112.2842245
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,1139.189787,34.2028137,-110.0179812
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,3491.707359,32.2410854,-110.946286
BANNER DESERT MEDICAL CENTER,1596.609141,33.3899517,-111.8773528
MT. GRAHAM REGIONAL MEDICAL CENTER,1758.730573,32.8227673,-109.7348242
HAVASU REGIONAL MEDICAL CENTER,1615.481759,34.4803821,-114.3388668
FORT DEFIANCE INDIAN HOSPITAL,983.9192013,35.759317,-109.0483992
TUBA CITY REGIONAL HEALTH CARE CORPORATION,1135.693277,36.1358476,-111.2370052
SAN CARLOS APACHE HEALTHCARE,916.50905,33.2956419,-110.4178011
PHOENIX INDIAN MEDICAL CENTER,841.80833,33.49695,-112.049421
ABRAZO SCOTTSDALE CAMPUS,1483.767618,33.6392902,-111.9975215
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,1011.064575,36.1575812,-109.6076963
NORTHWEST MEDICAL CENTER,1337.279143,32.32021,-111.0103668
SCOTTSDALE SHEA MEDICAL CENTER,1718.331685,33.5801319,-111.8847121
BANNER BAYWOOD MEDICAL CENTER,1441.210371,33.4113095,-111.6875079
BANNER THUNDERBIRD MEDICAL CENTER,2264.166702,33.6092249,-112.1796847
HONORHEALTH DEER VALLEY MEDICAL CENTER,1900.246384,33.6660046,-112.1160087
BANNER DEL E. WEBB MEDICAL CENTER,1291.094355,33.6599234,-112.3728842
ABRAZO ARROWHEAD CAMPUS,1410.348704,33.6548664,-112.2011729
WESTERN ARIZONA REGIONAL MEDICAL CENTER,1314.10824,35.1103607,-114.5547973
MAYO CLINIC HOSPITAL,6967.014913,33.6590516,-111.9564498
BANNER HEART HOSPITAL,2100.284455,33.4112699,-111.6870044
ARIZONA SPINE AND JOINT HOSPITAL,2447.823593,33.3803795,-111.7347299
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",2296.09834,33.5321501,-112.0991257
ABRAZO WEST CAMPUS,1365.063622,33.4625569,-112.3521489
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,1365.097502,32.1763145,-110.9306077
ARIZONA SPECIALTY HOSPITAL,1572.558926,33.3337537,-111.891233
WHITERIVER PHS INDIAN HOSPITAL,1044.13561,33.8758829,-109.9577386
ORO VALLEY HOSPITAL,1265.79914,32.4291928,-110.9485214
BANNER ESTRELLA MEDICAL CENTER,1842.167771,33.4784822,-112.2575889
VALLEY VIEW MEDICAL CENTER,1288.173496,35.0027485,-114.5962766
MERCY GILBERT MEDICAL CENTER,1343.004146,33.2871651,-111.7522435
"MOUNTAIN VISTA MEDICAL CENTER, LP",1538.710653,33.3914626,-111.6120874
BANNER GATEWAY MEDICAL CENTER,1484.490279,33.3840468,-111.7225666
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,1779.173535,33.6709813,-111.9222952
BANNER IRONWOOD MEDICAL CENTER,1837.657974,33.2144943,-111.5656332
O.A.S.I.S. HOSPITAL,3733.287896,33.4566545,-111.9964968
"FLORENCE HOSPITAL AT ANTHEM, LLC",999.764706,33.0733872,-111.4858461
BANNER GOLDFIELD MEDICAL CENTER,1308.802527,33.394434,-111.5670454
GREEN VALLEY HOSPITAL,1075.132375,31.9014368,-110.9865755
SILOAM SPRINGS REGIONAL HOSPITAL,1271.434066,36.1898192,-94.5075045
JOHNSON REGIONAL MEDICAL CENTER,1193.225934,35.4621303,-93.4442736
WASHINGTON REGIONAL MEDICAL CENTER,2238.834775,36.1092031,-94.1595346
CHI-ST VINCENT INFIRMARY,1446.738553,34.7502897,-92.3389284
MERCY HOSPITAL NORTHWEST ARKANSAS,1494.711048,36.3099923,-94.1840167
CHAMBERS MEMORIAL HOSPITAL,870.4428965,35.0545456,-93.388009
WHITE COUNTY MEDICAL CENTER,1164.707071,35.25104,-91.6928508
MENA REGIONAL HEALTH SYSTEM,1118.29338,34.5891875,-94.2216421
UAMS MEDICAL CENTER,3389.450633,34.7480724,-92.3216289
NORTH ARKANSAS REGIONAL MEDICAL CENTER,1152.554177,36.2365698,-93.1088244
SPARKS MEDICAL CENTER - VAN BUREN,1414.665889,35.436988,-94.345563
FORREST CITY MEDICAL CENTER,1033.564078,35.0261451,-90.7790182
ST BERNARDS MEDICAL CENTER,1154.616741,35.8366503,-90.7026009
NORTHWEST MEDICAL CENTER-SPRINGDALE,1864.056669,36.1801397,-94.1368229
CHI ST. VINCENT HOSPITAL HOT SPRINGS,1085.021007,34.4681702,-93.0663135
BAXTER REGIONAL MEDICAL CENTER,1147.096293,36.3429502,-92.3944185
CONWAY REGIONAL MEDICAL CENTER,1088.669242,35.0859847,-92.4576613
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,1658.873699,34.7836465,-92.2230215
ARKANSAS METHODIST MEDICAL CENTER,1109.762388,36.0516946,-90.4985428
ST MARYS REGIONAL MEDICAL CENTER,1323.710548,35.2835338,-93.1499299
FIVE RIVERS MEDICAL CENTER,947.0620501,36.2900452,-90.9974883
OUACHITA COUNTY MEDICAL CENTER,1131.829547,33.5758644,-92.8362602
DREW MEMORIAL HOSPITAL,937.5314057,33.6107603,-91.8170545
SPARKS REGIONAL MEDICAL CENTER,1187.319106,35.3741136,-94.419774
MERCY HOSPITAL FORT SMITH,1241.901955,35.3565026,-94.3531812
MAGNOLIA HOSPITAL,1370.714524,33.2742569,-93.2391848
GREAT RIVER MEDICAL CENTER,1070.425798,35.942244,-89.9188352
JEFFERSON REGIONAL MEDICAL CENTER,1672.885709,34.188636,-92.0176764
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,966.1004694,34.5178455,-91.5582488
NORTH METRO MEDICAL CENTER,932.9503283,34.873582,-92.124839
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1070.991639,34.3587893,-92.785668
NATIONAL PARK MEDICAL CENTER,1194.539828,34.4858185,-93.0362421
SALINE MEMORIAL HOSPITAL,1234.465245,34.5738284,-92.5855631
HELENA REGIONAL MEDICAL CENTER,1054.201469,34.5102191,-90.6271793
MEDICAL CENTER OF SOUTH ARKANSAS,1228.500009,33.2184706,-92.6705605
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,2115.474366,34.7442648,-92.3808258
NEA BAPTIST MEMORIAL HOSPITAL,1166.73667,35.8668678,-90.6367043
WHITE RIVER MEDICAL CENTER,1073.97549,35.7676697,-91.6343327
"ARKANSAS HEART HOSPITAL, LLC",1323.044949,34.7390675,-92.3933061
ST VINCENT MEDICAL CENTER/NORTH,1132.541268,34.8134023,-92.2091242
ARKANSAS SURGICAL HOSPITAL,2370.720442,34.8003023,-92.3490932
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,1918.177456,36.1215204,-94.1341845
WADLEY REGIONAL MEDICAL CENTER AT HOPE,906.5401686,33.6490999,-93.5868952
BAPTIST HEALTH MEDICAL CENTER-CONWAY,1297.558159,35.0564394,-92.4192706
ST ROSE HOSPITAL,1033.597463,37.6334549,-122.0879165
ST JOSEPH HOSPITAL,1573.200862,40.7840947,-124.1421682
MILLS-PENINSULA MEDICAL CENTER,2063.475119,37.5923598,-122.3824811
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,1973.989738,37.7685917,-122.4347308
QUEEN OF THE VALLEY MEDICAL CENTER,1410.069651,38.324482,-122.2971094
ADVENTIST HEALTH ST HELENA,1060.016627,38.5425501,-122.4748268
SUTTER AMADOR HOSPITAL,1417.553364,38.3504826,-120.764465
MERCY GENERAL HOSPITAL,1910.246432,38.569837,-121.452588
PACIFIC ALLIANCE MEDICAL CENTER,1012.286415,34.0650951,-118.2389113
RIVERSIDE COMMUNITY HOSPITAL,2923.775209,33.9772213,-117.3815694
PARADISE VALLEY HOSPITAL,980.0001733,32.6851132,-117.0828852
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,5300.862509,32.7542698,-117.166135
GROSSMONT HOSPITAL,2068.045136,32.7807782,-117.0070497
MAD RIVER COMMUNITY HOSPITAL,1081.827163,40.8963361,-124.0916707
OROVILLE HOSPITAL,903.0009291,39.5062597,-121.5410928
BAKERSFIELD MEMORIAL HOSPITAL,1571.232175,35.3909088,-119.0060445
SANTA CLARA VALLEY MEDICAL CENTER,1631.306307,37.3128569,-121.9332672
ENLOE MEDICAL CENTER,1193.14545,39.7425867,-121.849727
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,1961.023052,34.3259915,-118.4458492
ST ELIZABETH COMMUNITY HOSPITAL,1337.361479,40.1485519,-122.2190196
ALTA BATES SUMMIT MEDICAL CENTER,1527.785467,37.821677,-122.2630846
EL CENTRO REGIONAL MEDICAL CENTER,986.6308696,32.7804333,-115.568571
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,6171.614283,37.7908536,-122.4313063
SAN GORGONIO MEMORIAL HOSPITAL,1101.455199,33.9316874,-116.9461472
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,1189.504871,37.7477025,-122.4206672
ANTELOPE VALLEY HOSPITAL,2042.793683,34.6884937,-118.1585302
KAWEAH DELTA MEDICAL CENTER,1793.390051,36.328572,-119.2949582
GLENDALE MEM HOSPITAL & HLTH CENTER,968.7888659,34.1280862,-118.2569564
COMMUNITY REGIONAL MEDICAL CENTER,2097.846678,36.742835,-119.7848543
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1027.945237,34.0963224,-118.2903015
OAK VALLEY HOSPITAL DISTRICT,1044.924309,37.7575437,-120.8609984
ST JOSEPH HOSPITAL,4319.292105,33.7820441,-117.8654245
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,12280.85526,37.6598552,-122.4396504
KAISER FOUNDATION HOSPITAL-SANTA CLARA,16238.17283,37.3362374,-121.998538
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,11270.77325,37.8915785,-122.0588864
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,5405.319355,38.12767,-122.2484432
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,3187.119217,37.8235207,-122.2585683
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,32586.8588,37.7824588,-122.4430966
SCRIPPS MERCY HOSPITAL,1728.11449,32.7515656,-117.16039
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1250.970717,33.7382583,-118.305098
ST JOHNS REGIONAL MEDICAL CENTER,1432.89223,34.216734,-119.1558831
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1048.072452,37.9698831,-121.2886669
COMMUNITY HOSPITAL OF SAN BERNARDINO,838.9066014,34.1318199,-117.3210155
SONOMA VALLEY HOSPITAL,1088.342715,38.2881503,-122.4656876
COMMUNITY HOSPITAL OF HUNTINGTON PARK,977.0222716,33.9895589,-118.2241996
SAINT AGNES MEDICAL CENTER,1768.008403,36.8352022,-119.7655278
"WEST COVINA MEDICAL CENTER, INC",1523.072421,34.071352,-117.944755
SAN ANTONIO REGIONAL HOSPITAL,1123.679473,34.1019041,-117.6374336
SHARP MEMORIAL HOSPITAL,4738.430257,32.7996759,-117.1546001
SUTTER SOLANO MEDICAL CENTER,1335.024815,38.1312888,-122.2373373
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,1302.89881,33.9269682,-117.4398166
WHITE MEMORIAL MEDICAL CENTER,1435.585565,34.0492967,-118.2171632
SAINT FRANCIS MEDICAL CENTER,954.5394195,33.930826,-118.203228
MARIAN REGIONAL MEDICAL CENTER,1326.533024,34.9509201,-120.4131853
"SUTTER MEDICAL CENTER, SACRAMENTO",2004.993045,38.5709021,-121.4694505
LOMPOC VALLEY MEDICAL CENTER,1114.186019,34.6411375,-120.4395191
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,2538.609597,34.0270998,-118.4863064
SAN MATEO MEDICAL CENTER,1568.255247,37.5312245,-122.2991375
PALOMAR HEALTH DOWNTOWN CAMPUS,1788.823265,33.1248595,-117.0758226
NORTHRIDGE HOSPITAL MEDICAL CENTER,1410.971999,34.2200955,-118.5331136
DOCTORS HOSPITAL OF MANTECA,1195.982574,37.8015068,-121.1974112
ADVENTIST HEALTH HANFORD,1191.769405,36.3236131,-119.6665526
DAMERON HOSPITAL,1347.783945,37.9616219,-121.3009926
USC VERDUGO HILLS HOSPITAL,1056.35304,34.2045351,-118.216049
REGIONAL MEDICAL CENTER OF SAN JOSE,2207.891378,37.3622057,-121.8489667
VALLEY PRESBYTERIAN HOSPITAL,1359.734068,34.1950106,-118.4632201
WOODLAND MEMORIAL HOSPITAL,1822.938579,38.6641007,-121.7920967
TRI-CITY MEDICAL CENTER,1482.989703,33.1856484,-117.2904359
ST BERNARDINE MEDICAL CENTER,1112.289294,34.1348371,-117.2769883
NOVATO COMMUNITY HOSPITAL,1368.852965,38.099153,-122.560229
SAN GABRIEL VALLEY MEDICAL CENTER,977.8048026,34.1023234,-118.1055415
RIDEOUT MEMORIAL HOSPITAL,1371.100728,39.138174,-121.5942279
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,975.33399,34.0964254,-118.3252367
PETALUMA VALLEY HOSPITAL,1037.617547,38.25459,-122.6316537
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13653.72483,34.2187902,-118.4300562
KAISER FOUNDATION HOSPITAL - LOS ANGELES,7918.232463,34.0983524,-118.2948016
KAISER FOUNDATION HOSPITAL - DOWNEY,4408.398636,33.9191528,-118.1288176
KAISER FOUNDATION HOSPITAL FONTANA,2405.566387,34.0727772,-117.4356108
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,1712.581161,36.5785609,-121.9134061
CALIFORNIA HOSPITAL MEDICAL CENTER LA,961.4191814,34.0374888,-118.2661449
SIERRA NEVADA MEMORIAL HOSPITAL,1274.0854,39.2281029,-121.0468913
SAINT FRANCIS MEMORIAL HOSPITAL,1112.813754,37.7893799,-122.4167294
O'CONNOR HOSPITAL,1395.681313,37.3277552,-121.9383789
ENCINO HOSPITAL MEDICAL CENTER,1247.047512,34.1574278,-118.4870017
VENTURA COUNTY MEDICAL CENTER,1401.410798,34.2772969,-119.2529839
SAN JOAQUIN GENERAL HOSPITAL,1485.035219,37.8867135,-121.2826314
ST JUDE MEDICAL CENTER,2494.335965,33.8943451,-117.9272201
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,2747.746164,33.9698041,-118.0490733
SANTA ROSA MEMORIAL HOSPITAL,1296.069356,38.4437589,-122.7011068
EMANUEL MEDICAL CENTER,1090.424657,37.5117626,-120.8389503
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,2530.890893,37.9128769,-122.0409498
GEORGE L MEE MEMORIAL HOSPITAL,1046.280303,36.2062367,-121.1328224
ST MARY MEDICAL CENTER,1550.438395,33.779809,-118.186299
ADVENTIST HEALTH REEDLEY,1220.304219,36.608381,-119.451674
WATSONVILLE COMMUNITY HOSPITAL,1443.43171,36.9266472,-121.7928359
WASHINGTON HOSPITAL,1739.226167,37.55726,-121.9797604
SEQUOIA HOSPITAL,1518.170357,37.479843,-122.2546654
PALMDALE REGIONAL MEDICAL CENTER,1297.063184,34.582899,-118.1443812
EAST VALLEY GLENDORA HOSPITAL,776.9916838,34.1275602,-117.8651171
ALAMEDA HOSPITAL,980.0830987,37.7629874,-122.2533153
SHARP CHULA VISTA MEDICAL CENTER,1594.671514,32.6187297,-117.0221467
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,1831.68455,33.624397,-117.9296357
ADVENTIST HEALTH FEATHER RIVER,1126.593592,39.7573716,-121.5709949
AHMC ANAHEIM REGIONAL MEDICAL CENTER,1383.016173,33.8481751,-117.9345264
ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,2731.220719,37.7557265,-122.4047381
GARDEN GROVE HOSPITAL & MEDICAL CENTER,978.8017535,33.7750066,-117.9129079
POMONA VALLEY HOSPITAL MEDICAL CENTER,1221.217329,34.0768626,-117.7504875
FRENCH HOSPITAL MEDICAL CENTER,1553.880037,35.278037,-120.6509014
SHARP CORONADO HOSPITAL AND HLTHCR CTR,2407.197997,32.694447,-117.1686765
PROVIDENCE SAINT JOSEPH MEDICAL CTR,1817.616328,34.1562138,-118.3284546
ADVENTIST HEALTH SIMI VALLEY,1410.393981,34.2892065,-118.745137
METHODIST HOSPITAL OF SOUTHERN CA,1409.706288,34.1344486,-118.0416623
GLENDALE ADVENTIST MEDICAL CENTER,1318.521653,34.1502139,-118.2304591
DOMINICAN HOSPITAL,1654.728456,36.989473,-121.9844119
DESERT REGIONAL MEDICAL CENTER,1583.044648,33.838731,-116.543459
ARROWHEAD REGIONAL MEDICAL CENTER,1660.357744,34.0740531,-117.351059
NATIVIDAD MEDICAL CENTER,1673.305282,36.6966688,-121.6330887
MARSHALL MEDICAL CENTER,1448.534734,38.72467,-120.7916501
GOOD SAMARITAN HOSPITAL,881.2237639,35.4117157,-119.0397188
SIERRA VIEW MEDICAL CENTER,1229.209609,36.0690832,-119.0273534
RONALD REAGAN U C L A MEDICAL CENTER,8833.324176,34.0664764,-118.4465738
REDLANDS COMMUNITY HOSPITAL,1397.585721,34.0365372,-117.2051741
CONTRA COSTA REGIONAL MEDICAL CENTER,3594.86931,38.006764,-122.1327937
PROVIDENCE HOLY CROSS MEDICAL CENTER,1620.199889,34.279782,-118.4599806
HI-DESERT MEDICAL CENTER,1115.304029,34.1326806,-116.2761849
MERCY MEDICAL CENTER REDDING,1422.179128,40.5719533,-122.3952328
ALHAMBRA HOSPITAL MEDICAL CENTER,910.1485243,34.0903051,-118.1440538
STANFORD HEALTH CARE - VALLEYCARE,1522.207445,37.6933946,-121.8803417
SETON MEDICAL CENTER,1510.794362,37.6801347,-122.4740564
PROVIDENCE SAINT JOHN'S HEALTH CENTER,1784.73576,34.0307739,-118.4796445
SUTTER SANTA ROSA REGIONAL HOSPITAL,1870.886241,38.4950726,-122.7519949
RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,1768.076688,33.9121342,-117.1957233
MERCY HOSPITAL,1168.169003,35.3727847,-119.0276426
HAZEL HAWKINS MEMORIAL HOSPITAL,1184.278293,36.8338985,-121.3861055
BARSTOW COMMUNITY HOSPITAL,972.2206086,34.8921713,-117.0166969
ST MARY MEDICAL CENTER,1472.577514,34.5418476,-117.2655636
ADVENTIST HEALTH UKIAH VALLEY,1054.483621,39.1530652,-123.2028906
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,1649.655466,37.8556279,-122.2575014
EL CAMINO HOSPITAL,1544.294752,37.3691517,-122.0795279
SUTTER ROSEVILLE MEDICAL CENTER,1770.812825,38.7661654,-121.2484745
SUTTER TRACY COMMUNITY HOSPITAL,1420.612254,37.7440116,-121.4343074
KERN MEDICAL CENTER,1614.039722,35.3829347,-118.9705331
HIGHLAND HOSPITAL,1915.602505,37.7986088,-122.2316641
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,1835.70728,32.8851544,-117.2255383
